person,year_month,screen_time_seconds
adam schiff,2017-02-01,13307
adam schiff,2017-03-01,45683
adam schiff,2017-04-01,11903
adam schiff,2017-05-01,13549
adam schiff,2017-06-01,14211
adam schiff,2017-07-01,12067
adam schiff,2017-08-01,4025
adam schiff,2017-09-01,6415
adam schiff,2017-10-01,7764
adam schiff,2017-11-01,5435
adam schiff,2017-12-01,12250
adam schiff,2018-01-01,22075
adam schiff,2018-02-01,28444
adam schiff,2018-03-01,12074
adam schiff,2018-04-01,6600
adam schiff,2018-05-01,11019
adam schiff,2018-06-01,7114
adam schiff,2018-07-01,12390
adam schiff,2018-08-01,2949
adam schiff,2018-09-01,9956
adam schiff,2018-10-01,5073
adam schiff,2018-11-01,12328
adam schiff,2018-12-01,6428
adam schiff,2019-01-01,11778
adam schiff,2019-02-01,15326
adam schiff,2019-03-01,31649
adam schiff,2019-04-01,17822
adam schiff,2019-05-01,16600
adam schiff,2019-06-01,11388
adam schiff,2019-07-01,16307
adam schiff,2019-08-01,2293
adam schiff,2019-09-01,39422
adam schiff,2019-10-01,41872
adam schiff,2019-11-01,118162
adam schiff,2019-12-01,37468
adam schiff,2020-01-01,160992
adam schiff,2020-02-01,10569
adam schiff,2020-03-01,1586
adam schiff,2020-04-01,5100
adam schiff,2020-05-01,8711
adam schiff,2020-06-01,6201
adam schiff,2020-07-01,7083
ainsley earhardt,2010-01-01,409
ainsley earhardt,2010-02-01,832
ainsley earhardt,2010-03-01,1177
ainsley earhardt,2010-04-01,834
ainsley earhardt,2010-05-01,2919
ainsley earhardt,2010-06-01,205
ainsley earhardt,2010-07-01,1404
ainsley earhardt,2010-08-01,1105
ainsley earhardt,2010-09-01,1542
ainsley earhardt,2010-10-01,1698
ainsley earhardt,2010-11-01,3035
ainsley earhardt,2010-12-01,2218
ainsley earhardt,2011-01-01,445
ainsley earhardt,2011-02-01,1425
ainsley earhardt,2011-03-01,2039
ainsley earhardt,2011-04-01,1001
ainsley earhardt,2011-05-01,3804
ainsley earhardt,2011-06-01,3345
ainsley earhardt,2011-07-01,3202
ainsley earhardt,2011-08-01,1820
ainsley earhardt,2011-09-01,591
ainsley earhardt,2011-10-01,1298
ainsley earhardt,2011-11-01,535
ainsley earhardt,2011-12-01,3638
ainsley earhardt,2012-01-01,1119
ainsley earhardt,2012-02-01,560
ainsley earhardt,2012-03-01,3466
ainsley earhardt,2012-04-01,3003
ainsley earhardt,2012-05-01,3329
ainsley earhardt,2012-06-01,2326
ainsley earhardt,2012-07-01,3591
ainsley earhardt,2012-08-01,5688
ainsley earhardt,2012-09-01,3182
ainsley earhardt,2012-10-01,1753
ainsley earhardt,2012-11-01,3884
ainsley earhardt,2012-12-01,4355
ainsley earhardt,2013-01-01,3308
ainsley earhardt,2013-02-01,1939
ainsley earhardt,2013-03-01,4519
ainsley earhardt,2013-04-01,1475
ainsley earhardt,2013-05-01,3052
ainsley earhardt,2013-06-01,1861
ainsley earhardt,2013-07-01,5912
ainsley earhardt,2013-08-01,6905
ainsley earhardt,2013-09-01,3742
ainsley earhardt,2013-10-01,9099
ainsley earhardt,2013-11-01,5738
ainsley earhardt,2013-12-01,6914
ainsley earhardt,2014-01-01,7972
ainsley earhardt,2014-02-01,7368
ainsley earhardt,2014-03-01,5792
ainsley earhardt,2014-04-01,10320
ainsley earhardt,2014-05-01,6677
ainsley earhardt,2014-06-01,7647
ainsley earhardt,2014-07-01,8784
ainsley earhardt,2014-08-01,7011
ainsley earhardt,2014-09-01,7149
ainsley earhardt,2014-10-01,8708
ainsley earhardt,2014-11-01,9602
ainsley earhardt,2014-12-01,7056
ainsley earhardt,2015-01-01,4453
ainsley earhardt,2015-02-01,6413
ainsley earhardt,2015-03-01,6911
ainsley earhardt,2015-04-01,6744
ainsley earhardt,2015-05-01,5820
ainsley earhardt,2015-06-01,5731
ainsley earhardt,2015-07-01,5899
ainsley earhardt,2015-08-01,5277
ainsley earhardt,2015-09-01,5786
ainsley earhardt,2015-10-01,4362
ainsley earhardt,2015-11-01,323
ainsley earhardt,2015-12-01,327
ainsley earhardt,2016-01-01,192
ainsley earhardt,2016-02-01,829
ainsley earhardt,2016-03-01,9170
ainsley earhardt,2016-04-01,5618
ainsley earhardt,2016-05-01,8995
ainsley earhardt,2016-06-01,8109
ainsley earhardt,2016-07-01,4775
ainsley earhardt,2016-08-01,7924
ainsley earhardt,2016-09-01,7240
ainsley earhardt,2016-10-01,8840
ainsley earhardt,2016-11-01,8950
ainsley earhardt,2016-12-01,6907
ainsley earhardt,2017-01-01,10001
ainsley earhardt,2017-02-01,7555
ainsley earhardt,2017-03-01,11181
ainsley earhardt,2017-04-01,9107
ainsley earhardt,2017-05-01,9352
ainsley earhardt,2017-06-01,8494
ainsley earhardt,2017-07-01,6975
ainsley earhardt,2017-08-01,5673
ainsley earhardt,2017-09-01,5221
ainsley earhardt,2017-10-01,9472
ainsley earhardt,2017-11-01,8458
ainsley earhardt,2017-12-01,13171
ainsley earhardt,2018-01-01,12267
ainsley earhardt,2018-02-01,6565
ainsley earhardt,2018-03-01,14084
ainsley earhardt,2018-04-01,16168
ainsley earhardt,2018-05-01,15837
ainsley earhardt,2018-06-01,13082
ainsley earhardt,2018-07-01,14827
ainsley earhardt,2018-08-01,16268
ainsley earhardt,2018-09-01,9142
ainsley earhardt,2018-10-01,15212
ainsley earhardt,2018-11-01,11786
ainsley earhardt,2018-12-01,10452
ainsley earhardt,2019-01-01,19843
ainsley earhardt,2019-02-01,17960
ainsley earhardt,2019-03-01,13001
ainsley earhardt,2019-04-01,17709
ainsley earhardt,2019-05-01,22621
ainsley earhardt,2019-06-01,14768
ainsley earhardt,2019-07-01,18827
ainsley earhardt,2019-08-01,16938
ainsley earhardt,2019-09-01,11542
ainsley earhardt,2019-10-01,18184
ainsley earhardt,2019-11-01,12845
ainsley earhardt,2019-12-01,11680
ainsley earhardt,2020-01-01,16270
ainsley earhardt,2020-02-01,5586
ainsley earhardt,2020-03-01,25137
ainsley earhardt,2020-04-01,43857
ainsley earhardt,2020-05-01,42930
ainsley earhardt,2020-06-01,39475
ainsley earhardt,2020-07-01,21490
al sharpton,2010-01-01,4638
al sharpton,2010-02-01,2069
al sharpton,2010-03-01,3421
al sharpton,2010-04-01,8349
al sharpton,2010-05-01,1845
al sharpton,2010-06-01,216
al sharpton,2010-07-01,8077
al sharpton,2010-08-01,13096
al sharpton,2010-09-01,942
al sharpton,2010-10-01,3570
al sharpton,2010-11-01,2402
al sharpton,2010-12-01,2690
al sharpton,2011-01-01,5451
al sharpton,2011-02-01,877
al sharpton,2011-03-01,1436
al sharpton,2011-04-01,4630
al sharpton,2011-05-01,242
al sharpton,2011-06-01,6696
al sharpton,2011-07-01,16402
al sharpton,2011-08-01,21719
al sharpton,2011-09-01,19418
al sharpton,2011-10-01,17430
al sharpton,2011-11-01,16540
al sharpton,2011-12-01,18338
al sharpton,2012-01-01,21883
al sharpton,2012-02-01,16939
al sharpton,2012-03-01,28610
al sharpton,2012-04-01,16969
al sharpton,2012-05-01,13294
al sharpton,2012-06-01,13976
al sharpton,2012-07-01,13324
al sharpton,2012-08-01,15833
al sharpton,2012-09-01,14530
al sharpton,2012-10-01,16555
al sharpton,2012-11-01,11661
al sharpton,2012-12-01,10738
al sharpton,2013-01-01,15300
al sharpton,2013-02-01,14425
al sharpton,2013-03-01,12850
al sharpton,2013-04-01,11956
al sharpton,2013-05-01,11898
al sharpton,2013-06-01,12673
al sharpton,2013-07-01,27438
al sharpton,2013-08-01,18495
al sharpton,2013-09-01,15283
al sharpton,2013-10-01,14033
al sharpton,2013-11-01,12960
al sharpton,2013-12-01,13159
al sharpton,2014-01-01,13518
al sharpton,2014-02-01,11746
al sharpton,2014-03-01,12083
al sharpton,2014-04-01,15456
al sharpton,2014-05-01,11925
al sharpton,2014-06-01,10351
al sharpton,2014-07-01,12424
al sharpton,2014-08-01,24469
al sharpton,2014-09-01,10129
al sharpton,2014-10-01,9648
al sharpton,2014-11-01,16232
al sharpton,2014-12-01,20876
al sharpton,2015-01-01,10215
al sharpton,2015-02-01,10217
al sharpton,2015-03-01,11866
al sharpton,2015-04-01,9960
al sharpton,2015-05-01,7383
al sharpton,2015-06-01,10280
al sharpton,2015-07-01,9316
al sharpton,2015-08-01,6124
al sharpton,2015-09-01,2062
al sharpton,2015-10-01,2478
al sharpton,2015-11-01,2199
al sharpton,2015-12-01,3980
al sharpton,2016-01-01,3103
al sharpton,2016-02-01,6237
al sharpton,2016-03-01,2828
al sharpton,2016-04-01,6882
al sharpton,2016-05-01,2972
al sharpton,2016-06-01,3508
al sharpton,2016-07-01,6923
al sharpton,2016-08-01,2767
al sharpton,2016-09-01,2857
al sharpton,2016-10-01,3102
al sharpton,2016-11-01,3292
al sharpton,2016-12-01,2147
al sharpton,2017-01-01,4744
al sharpton,2017-02-01,4000
al sharpton,2017-03-01,4037
al sharpton,2017-04-01,5483
al sharpton,2017-05-01,4211
al sharpton,2017-06-01,5170
al sharpton,2017-07-01,6161
al sharpton,2017-08-01,8275
al sharpton,2017-09-01,4261
al sharpton,2017-10-01,6193
al sharpton,2017-11-01,4874
al sharpton,2017-12-01,7049
al sharpton,2018-01-01,9042
al sharpton,2018-02-01,5863
al sharpton,2018-03-01,7826
al sharpton,2018-04-01,8569
al sharpton,2018-05-01,8214
al sharpton,2018-06-01,6980
al sharpton,2018-07-01,9808
al sharpton,2018-08-01,13837
al sharpton,2018-09-01,8309
al sharpton,2018-10-01,11127
al sharpton,2018-11-01,10933
al sharpton,2018-12-01,11133
al sharpton,2019-01-01,11048
al sharpton,2019-02-01,12649
al sharpton,2019-03-01,12551
al sharpton,2019-04-01,16320
al sharpton,2019-05-01,12610
al sharpton,2019-06-01,19964
al sharpton,2019-07-01,17771
al sharpton,2019-08-01,15184
al sharpton,2019-09-01,11265
al sharpton,2019-10-01,9135
al sharpton,2019-11-01,12545
al sharpton,2019-12-01,12246
al sharpton,2020-01-01,8958
al sharpton,2020-02-01,13266
al sharpton,2020-03-01,12185
al sharpton,2020-04-01,11006
al sharpton,2020-05-01,21172
al sharpton,2020-06-01,34393
al sharpton,2020-07-01,21076
alex witt,2010-01-01,14375
alex witt,2010-02-01,7169
alex witt,2010-03-01,7857
alex witt,2010-04-01,13856
alex witt,2010-05-01,9111
alex witt,2010-06-01,5936
alex witt,2010-07-01,8415
alex witt,2010-08-01,10898
alex witt,2010-09-01,10641
alex witt,2010-10-01,8905
alex witt,2010-11-01,8985
alex witt,2010-12-01,5965
alex witt,2011-01-01,9360
alex witt,2011-02-01,7721
alex witt,2011-03-01,11208
alex witt,2011-04-01,9401
alex witt,2011-05-01,13113
alex witt,2011-06-01,8241
alex witt,2011-07-01,8815
alex witt,2011-08-01,8593
alex witt,2011-09-01,8764
alex witt,2011-10-01,7720
alex witt,2011-11-01,7665
alex witt,2011-12-01,7618
alex witt,2012-01-01,8618
alex witt,2012-02-01,6517
alex witt,2012-03-01,8093
alex witt,2012-04-01,6202
alex witt,2012-05-01,5138
alex witt,2012-06-01,6011
alex witt,2012-07-01,6420
alex witt,2012-08-01,3106
alex witt,2012-09-01,7243
alex witt,2012-10-01,6559
alex witt,2012-11-01,10053
alex witt,2012-12-01,7067
alex witt,2013-01-01,7256
alex witt,2013-02-01,7643
alex witt,2013-03-01,7424
alex witt,2013-04-01,7015
alex witt,2013-05-01,5269
alex witt,2013-06-01,5284
alex witt,2013-07-01,6646
alex witt,2013-08-01,7019
alex witt,2013-09-01,9242
alex witt,2013-10-01,5241
alex witt,2013-11-01,7674
alex witt,2013-12-01,8675
alex witt,2014-01-01,8296
alex witt,2014-02-01,6645
alex witt,2014-03-01,8590
alex witt,2014-04-01,7307
alex witt,2014-05-01,7688
alex witt,2014-06-01,6308
alex witt,2014-07-01,8042
alex witt,2014-08-01,10033
alex witt,2014-09-01,6855
alex witt,2014-10-01,6782
alex witt,2014-11-01,9673
alex witt,2014-12-01,6906
alex witt,2015-01-01,5327
alex witt,2015-02-01,5215
alex witt,2015-03-01,5375
alex witt,2015-04-01,6825
alex witt,2015-05-01,8332
alex witt,2015-06-01,3483
alex witt,2015-07-01,7570
alex witt,2015-08-01,5288
alex witt,2015-09-01,7530
alex witt,2015-10-01,4450
alex witt,2015-11-01,8751
alex witt,2015-12-01,6028
alex witt,2016-01-01,5105
alex witt,2016-02-01,3775
alex witt,2016-03-01,6472
alex witt,2016-04-01,11455
alex witt,2016-05-01,8103
alex witt,2016-06-01,8507
alex witt,2016-07-01,9467
alex witt,2016-08-01,4243
alex witt,2016-09-01,7292
alex witt,2016-10-01,8909
alex witt,2016-11-01,5490
alex witt,2016-12-01,2478
alex witt,2017-01-01,7823
alex witt,2017-02-01,6226
alex witt,2017-03-01,4714
alex witt,2017-04-01,8544
alex witt,2017-05-01,2619
alex witt,2017-06-01,4420
alex witt,2017-07-01,9732
alex witt,2017-08-01,8122
alex witt,2017-09-01,11228
alex witt,2017-10-01,10747
alex witt,2017-11-01,8197
alex witt,2017-12-01,9320
alex witt,2018-01-01,12583
alex witt,2018-02-01,10484
alex witt,2018-03-01,14191
alex witt,2018-04-01,9839
alex witt,2018-05-01,12183
alex witt,2018-06-01,10657
alex witt,2018-07-01,15456
alex witt,2018-08-01,7432
alex witt,2018-09-01,10461
alex witt,2018-10-01,10518
alex witt,2018-11-01,10465
alex witt,2018-12-01,9945
alex witt,2019-01-01,10352
alex witt,2019-02-01,10775
alex witt,2019-03-01,12542
alex witt,2019-04-01,8378
alex witt,2019-05-01,7716
alex witt,2019-06-01,11208
alex witt,2019-07-01,7004
alex witt,2019-08-01,5221
alex witt,2019-09-01,8854
alex witt,2019-10-01,7055
alex witt,2019-11-01,10216
alex witt,2019-12-01,11446
alex witt,2020-01-01,5871
alex witt,2020-02-01,9060
alex witt,2020-03-01,9641
alex witt,2020-04-01,9847
alex witt,2020-05-01,11319
alex witt,2020-06-01,10403
alex witt,2020-07-01,10393
ali velshi,2010-01-01,16927
ali velshi,2010-02-01,20655
ali velshi,2010-03-01,22042
ali velshi,2010-04-01,29552
ali velshi,2010-05-01,7551
ali velshi,2010-06-01,8301
ali velshi,2010-07-01,15396
ali velshi,2010-08-01,35675
ali velshi,2010-09-01,34316
ali velshi,2010-10-01,25461
ali velshi,2010-11-01,33131
ali velshi,2010-12-01,32634
ali velshi,2011-01-01,34972
ali velshi,2011-02-01,17288
ali velshi,2011-03-01,25461
ali velshi,2011-04-01,28724
ali velshi,2011-05-01,28282
ali velshi,2011-06-01,19075
ali velshi,2011-07-01,52926
ali velshi,2011-08-01,48847
ali velshi,2011-09-01,15621
ali velshi,2011-10-01,31047
ali velshi,2011-11-01,15734
ali velshi,2011-12-01,23625
ali velshi,2012-01-01,14191
ali velshi,2012-02-01,9930
ali velshi,2012-03-01,9927
ali velshi,2012-04-01,10069
ali velshi,2012-05-01,17396
ali velshi,2012-06-01,7689
ali velshi,2012-07-01,12717
ali velshi,2012-08-01,3731
ali velshi,2012-09-01,10544
ali velshi,2012-10-01,14571
ali velshi,2012-11-01,13468
ali velshi,2012-12-01,21462
ali velshi,2013-01-01,18368
ali velshi,2013-02-01,6255
ali velshi,2013-03-01,11263
ali velshi,2013-04-01,2453
ali velshi,2013-05-01,21
ali velshi,2013-06-01,0
ali velshi,2013-07-01,0
ali velshi,2013-08-01,3
ali velshi,2013-09-01,6
ali velshi,2013-10-01,9
ali velshi,2013-11-01,0
ali velshi,2013-12-01,18
ali velshi,2014-01-01,6
ali velshi,2014-02-01,3
ali velshi,2014-03-01,0
ali velshi,2014-04-01,15
ali velshi,2014-05-01,21
ali velshi,2014-06-01,51
ali velshi,2014-07-01,12
ali velshi,2014-08-01,0
ali velshi,2014-09-01,3
ali velshi,2014-10-01,27
ali velshi,2014-11-01,6
ali velshi,2014-12-01,24
ali velshi,2015-01-01,18
ali velshi,2015-02-01,3
ali velshi,2015-03-01,3
ali velshi,2015-04-01,3
ali velshi,2015-05-01,18
ali velshi,2015-06-01,36
ali velshi,2015-07-01,12
ali velshi,2015-08-01,9
ali velshi,2015-09-01,84
ali velshi,2015-10-01,15
ali velshi,2015-11-01,12
ali velshi,2015-12-01,238
ali velshi,2016-01-01,45
ali velshi,2016-02-01,6
ali velshi,2016-03-01,6
ali velshi,2016-04-01,159
ali velshi,2016-05-01,328
ali velshi,2016-06-01,3836
ali velshi,2016-07-01,15
ali velshi,2016-08-01,4062
ali velshi,2016-09-01,223
ali velshi,2016-10-01,870
ali velshi,2016-11-01,9162
ali velshi,2016-12-01,8148
ali velshi,2017-01-01,7555
ali velshi,2017-02-01,17610
ali velshi,2017-03-01,15820
ali velshi,2017-04-01,17682
ali velshi,2017-05-01,16018
ali velshi,2017-06-01,26876
ali velshi,2017-07-01,35879
ali velshi,2017-08-01,34590
ali velshi,2017-09-01,30231
ali velshi,2017-10-01,17769
ali velshi,2017-11-01,33205
ali velshi,2017-12-01,34197
ali velshi,2018-01-01,27226
ali velshi,2018-02-01,35220
ali velshi,2018-03-01,25238
ali velshi,2018-04-01,39254
ali velshi,2018-05-01,16897
ali velshi,2018-06-01,24533
ali velshi,2018-07-01,47022
ali velshi,2018-08-01,44896
ali velshi,2018-09-01,20980
ali velshi,2018-10-01,37948
ali velshi,2018-11-01,30579
ali velshi,2018-12-01,29072
ali velshi,2019-01-01,32822
ali velshi,2019-02-01,31805
ali velshi,2019-03-01,39569
ali velshi,2019-04-01,35581
ali velshi,2019-05-01,29068
ali velshi,2019-06-01,33393
ali velshi,2019-07-01,26307
ali velshi,2019-08-01,42430
ali velshi,2019-09-01,26834
ali velshi,2019-10-01,22786
ali velshi,2019-11-01,30349
ali velshi,2019-12-01,26337
ali velshi,2020-01-01,36541
ali velshi,2020-02-01,31044
ali velshi,2020-03-01,42792
ali velshi,2020-04-01,28412
ali velshi,2020-05-01,33925
ali velshi,2020-06-01,32181
ali velshi,2020-07-01,43112
alisyn camerota,2010-01-01,12847
alisyn camerota,2010-02-01,7207
alisyn camerota,2010-03-01,5957
alisyn camerota,2010-04-01,5169
alisyn camerota,2010-05-01,4656
alisyn camerota,2010-06-01,4470
alisyn camerota,2010-07-01,12701
alisyn camerota,2010-08-01,11470
alisyn camerota,2010-09-01,5879
alisyn camerota,2010-10-01,6792
alisyn camerota,2010-11-01,9130
alisyn camerota,2010-12-01,8307
alisyn camerota,2011-01-01,7865
alisyn camerota,2011-02-01,4648
alisyn camerota,2011-03-01,6502
alisyn camerota,2011-04-01,8135
alisyn camerota,2011-05-01,10286
alisyn camerota,2011-06-01,11472
alisyn camerota,2011-07-01,9111
alisyn camerota,2011-08-01,6390
alisyn camerota,2011-09-01,7818
alisyn camerota,2011-10-01,9042
alisyn camerota,2011-11-01,9892
alisyn camerota,2011-12-01,13489
alisyn camerota,2012-01-01,9900
alisyn camerota,2012-02-01,5271
alisyn camerota,2012-03-01,9292
alisyn camerota,2012-04-01,10004
alisyn camerota,2012-05-01,7037
alisyn camerota,2012-06-01,12151
alisyn camerota,2012-07-01,10052
alisyn camerota,2012-08-01,11488
alisyn camerota,2012-09-01,11996
alisyn camerota,2012-10-01,8530
alisyn camerota,2012-11-01,9441
alisyn camerota,2012-12-01,12594
alisyn camerota,2013-01-01,12286
alisyn camerota,2013-02-01,10426
alisyn camerota,2013-03-01,20983
alisyn camerota,2013-04-01,10923
alisyn camerota,2013-05-01,9718
alisyn camerota,2013-06-01,13575
alisyn camerota,2013-07-01,11573
alisyn camerota,2013-08-01,9699
alisyn camerota,2013-09-01,12855
alisyn camerota,2013-10-01,8780
alisyn camerota,2013-11-01,6743
alisyn camerota,2013-12-01,7071
alisyn camerota,2014-01-01,6923
alisyn camerota,2014-02-01,5710
alisyn camerota,2014-03-01,3565
alisyn camerota,2014-04-01,306
alisyn camerota,2014-05-01,159
alisyn camerota,2014-06-01,225
alisyn camerota,2014-07-01,3246
alisyn camerota,2014-08-01,8981
alisyn camerota,2014-09-01,11845
alisyn camerota,2014-10-01,13544
alisyn camerota,2014-11-01,12991
alisyn camerota,2014-12-01,12151
alisyn camerota,2015-01-01,10753
alisyn camerota,2015-02-01,10185
alisyn camerota,2015-03-01,9930
alisyn camerota,2015-04-01,7405
alisyn camerota,2015-05-01,10805
alisyn camerota,2015-06-01,12248
alisyn camerota,2015-07-01,12519
alisyn camerota,2015-08-01,10931
alisyn camerota,2015-09-01,15411
alisyn camerota,2015-10-01,11992
alisyn camerota,2015-11-01,15122
alisyn camerota,2015-12-01,15298
alisyn camerota,2016-01-01,13437
alisyn camerota,2016-02-01,11872
alisyn camerota,2016-03-01,18197
alisyn camerota,2016-04-01,10008
alisyn camerota,2016-05-01,14996
alisyn camerota,2016-06-01,12970
alisyn camerota,2016-07-01,12942
alisyn camerota,2016-08-01,9433
alisyn camerota,2016-09-01,14936
alisyn camerota,2016-10-01,13913
alisyn camerota,2016-11-01,13363
alisyn camerota,2016-12-01,10897
alisyn camerota,2017-01-01,13461
alisyn camerota,2017-02-01,15571
alisyn camerota,2017-03-01,13082
alisyn camerota,2017-04-01,11692
alisyn camerota,2017-05-01,10853
alisyn camerota,2017-06-01,20303
alisyn camerota,2017-07-01,22889
alisyn camerota,2017-08-01,16741
alisyn camerota,2017-09-01,16127
alisyn camerota,2017-10-01,19646
alisyn camerota,2017-11-01,15487
alisyn camerota,2017-12-01,23245
alisyn camerota,2018-01-01,21884
alisyn camerota,2018-02-01,21015
alisyn camerota,2018-03-01,15617
alisyn camerota,2018-04-01,17315
alisyn camerota,2018-05-01,18686
alisyn camerota,2018-06-01,15776
alisyn camerota,2018-07-01,20901
alisyn camerota,2018-08-01,17581
alisyn camerota,2018-09-01,19895
alisyn camerota,2018-10-01,16710
alisyn camerota,2018-11-01,13838
alisyn camerota,2018-12-01,10361
alisyn camerota,2019-01-01,21593
alisyn camerota,2019-02-01,12066
alisyn camerota,2019-03-01,16039
alisyn camerota,2019-04-01,26672
alisyn camerota,2019-05-01,23146
alisyn camerota,2019-06-01,18800
alisyn camerota,2019-07-01,21420
alisyn camerota,2019-08-01,13993
alisyn camerota,2019-09-01,21494
alisyn camerota,2019-10-01,25904
alisyn camerota,2019-11-01,19287
alisyn camerota,2019-12-01,21506
alisyn camerota,2020-01-01,22405
alisyn camerota,2020-02-01,16937
alisyn camerota,2020-03-01,24796
alisyn camerota,2020-04-01,35123
alisyn camerota,2020-05-01,19378
alisyn camerota,2020-06-01,25522
alisyn camerota,2020-07-01,19825
anderson cooper,2010-01-01,91901
anderson cooper,2010-02-01,44743
anderson cooper,2010-03-01,59318
anderson cooper,2010-04-01,50052
anderson cooper,2010-05-01,35134
anderson cooper,2010-06-01,35098
anderson cooper,2010-07-01,55242
anderson cooper,2010-08-01,47131
anderson cooper,2010-09-01,74708
anderson cooper,2010-10-01,75709
anderson cooper,2010-11-01,62430
anderson cooper,2010-12-01,67083
anderson cooper,2011-01-01,89959
anderson cooper,2011-02-01,75412
anderson cooper,2011-03-01,65472
anderson cooper,2011-04-01,50309
anderson cooper,2011-05-01,60970
anderson cooper,2011-06-01,61959
anderson cooper,2011-07-01,36254
anderson cooper,2011-08-01,86653
anderson cooper,2011-09-01,68001
anderson cooper,2011-10-01,44558
anderson cooper,2011-11-01,50019
anderson cooper,2011-12-01,65065
anderson cooper,2012-01-01,46436
anderson cooper,2012-02-01,42019
anderson cooper,2012-03-01,50743
anderson cooper,2012-04-01,52157
anderson cooper,2012-05-01,80662
anderson cooper,2012-06-01,51730
anderson cooper,2012-07-01,58217
anderson cooper,2012-08-01,55366
anderson cooper,2012-09-01,48369
anderson cooper,2012-10-01,58889
anderson cooper,2012-11-01,63027
anderson cooper,2012-12-01,64191
anderson cooper,2013-01-01,65463
anderson cooper,2013-02-01,30224
anderson cooper,2013-03-01,32727
anderson cooper,2013-04-01,63169
anderson cooper,2013-05-01,59708
anderson cooper,2013-06-01,65916
anderson cooper,2013-07-01,78342
anderson cooper,2013-08-01,60508
anderson cooper,2013-09-01,52763
anderson cooper,2013-10-01,49215
anderson cooper,2013-11-01,38230
anderson cooper,2013-12-01,43765
anderson cooper,2014-01-01,58292
anderson cooper,2014-02-01,31723
anderson cooper,2014-03-01,57458
anderson cooper,2014-04-01,26449
anderson cooper,2014-05-01,53179
anderson cooper,2014-06-01,47302
anderson cooper,2014-07-01,33873
anderson cooper,2014-08-01,39629
anderson cooper,2014-09-01,45254
anderson cooper,2014-10-01,52074
anderson cooper,2014-11-01,26371
anderson cooper,2014-12-01,23329
anderson cooper,2015-01-01,35574
anderson cooper,2015-02-01,31347
anderson cooper,2015-03-01,32287
anderson cooper,2015-04-01,24035
anderson cooper,2015-05-01,27455
anderson cooper,2015-06-01,38147
anderson cooper,2015-07-01,36531
anderson cooper,2015-08-01,31714
anderson cooper,2015-09-01,31153
anderson cooper,2015-10-01,41822
anderson cooper,2015-11-01,36487
anderson cooper,2015-12-01,21626
anderson cooper,2016-01-01,31289
anderson cooper,2016-02-01,32516
anderson cooper,2016-03-01,32062
anderson cooper,2016-04-01,25812
anderson cooper,2016-05-01,19994
anderson cooper,2016-06-01,39678
anderson cooper,2016-07-01,24770
anderson cooper,2016-08-01,36760
